RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
95,"Sorel-Tracy, Que.",49039,0.047,5.4,62887.95,30107.26,209689,184946,2.94,2.52,1563,0.0249,0.1498,11302,0.1976,0.0089,6.66,1.58,2.53,801.17,147.72,111.28,208.7,112.94,19.15,6.33,16.35,-0.1772,4819.76,58.11,50.6,1.08,3.87,1.61,1
96,"Estevan, Sask.",13906,0.102,5.2,115348.99,57764.13,526233,378923,3.29,2.28,2636,0.0229,0.1,10195,0.2117,0.006,5.25,0.58,-,331.56,116.39,73.73,169.2,113.46,40.44,3.73,12.42,0.1771,16258.6,142.4,104.68,0.14,3.51,0.65,1.47
97,"Fort St. John, B.C.",28487,0.048,5.9,100768.32,52297.49,327251,314189,3.12,2.02,2047,0.0203,0.12,8611,0.2416,0.0033,6.68,0.67,0.44,292.43,118.47,65.97,181.7,64.24,38.77,2.3,0.15,-0.1555,17634.68,161.29,192.03,1.19,2.66,1.54,0.93
98,"Woodstock, Ont.",40247,0.073,7.7,73737.29,38556.85,280148,234766,3.18,2.68,2057,0.0279,0.13,8694,0.1665,0.0055,6.78,1.36,1.5,848.76,157.69,123.5,216.7,121.7,5.22,7.84,16,-0.0095,6229.74,68.86,47.57,1.07,3.43,1.39,1.38
99,"Courtenay, B.C.",59017,0.092,9,67769.5,32781.86,443417,385458,5.69,2.08,1429,0.0211,0.12,8611,0.1135,0.0026,6.97,3.94,1.63,1096.45,172.56,168.85,316.4,76.21,0,9.99,0.63,-0.2826,11131.33,83.49,83.64,1.36,4.25,2.91,2.12
100,"High River, Alta.",13964,0.234,4.6,84659.22,43355.56,439045,317674,3.75,2.2,1890,0.0223,0.05,9474,0.1427,0.0073,5.98,1.73,1.27,363.66,93.18,59.36,161.3,82.44,23.46,4.19,0.14,-0.0072,8724.88,69.7,55.37,1.22,3.67,1.2,1.26
101,"Trois-RiviŠres, Que.",157141,0.065,7.5,62931.92,29551.18,189937,140140,2.23,2.25,1399,0.0222,0.1498,11302,0.1722,0.0108,5.31,1.24,2.06,863.88,161.11,119.51,196.6,104.15,27.11,5.23,8.24,-0.0574,5740.3,67.33,46.02,1.29,4.01,2.13,1.35
102,"Burnaby, B.C",239926,0.099,7.4,74573.23,30142.35,539152,649493,8.71,2.07,1632,0.0219,0.12,8611,0.1622,0.0334,4.33,0.79,25.14,1871.01,178.27,173.76,326.3,82.54,0,10.81,4.68,-0.1925,6987.54,88.75,89.11,0.75,3.24,2.46,2.09
103,"Petawawa, Ont.",17710,0.145,5.5,87139.51,44164.65,184287,278449,3.2,1.93,1703,0.0195,0.13,8694,0.2175,0.004,3.76,2.63,0.35,620.6,170.15,115.01,180.7,111.15,39.27,4.49,7.11,-0.102,2509.93,26.62,27.27,0.11,3.93,0.9,1.44
104,"Baie-Comeau, Que.",29207,0.005,5.1,76503.66,38159.88,162141,155801,2.04,2.65,2019,0.0264,0.1498,11302,0.2327,0.0052,5.66,0.77,0.76,697.61,167.26,110.88,167.9,47.08,42.05,1.67,0,-0.0982,6169.74,61.4,59.83,0.38,3.79,2.53,1.27
